Country & Variable (Combined);Country;M49;Variables;Variable;Units;Symbol;Symbol Description;Units;Symbol;2015;2016;2017;2018;2019;2020
Bahrain, Fresh groundwater withdrawal;Bahrain;48;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.16;0.16;;;;
Bahrain, Fresh groundwater withdrawal;Bahrain;48;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;0.16;0.16;0.16;0.16
Bangladesh, Fresh groundwater withdrawal;Bangladesh;50;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;28.48;28.48;28.48;28.48;28.48;28.48
Belarus, Fresh groundwater withdrawal;Belarus;112;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.85;0.82;0.81;0.81;0.8;0.8
Belgium, Fresh groundwater withdrawal;Belgium;56;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;;;0.62;0.63;0.61;
Belgium, Fresh groundwater withdrawal;Belgium;56;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;0.63;;;;0.61
Belgium, Fresh groundwater withdrawal;Belgium;56;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;X;External value (reported by FAOSTAT or another international agency);10^9 m3/year;X;0.63;;;;;
Benin, Fresh groundwater withdrawal;Benin;204;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.04;0.04;0.04;0.04;0.04;0.04
Bhutan, Fresh groundwater withdrawal;Bhutan;64;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0;0;0;0;0;0
Bosnia and Herzegovina, Fresh groundwater withdrawal;Bosnia and Herzegovina;70;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.31;0.31;0.29;0.14;0.14;0.14
Botswana, Fresh groundwater withdrawal;Botswana;72;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.11;0.11;0.12;0.12;0.11;0.14
Brazil, Fresh groundwater withdrawal;Brazil;76;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;4.47;12.47;10.48;17.36;9.97;9.91
Brunei Darussalam, Fresh groundwater withdrawal;Brunei Darussalam;96;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0;0;0;0;0;0
Bulgaria, Fresh groundwater withdrawal;Bulgaria;100;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.56;0.56;0.58;0.57;0.56;0.56
Burkina Faso, Fresh groundwater withdrawal;Burkina Faso;854;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.01;0.01;0.01;0.01;0.01;0.01
Canada, Fresh groundwater withdrawal;Canada;124;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;1.58;1.6;1.61;1.61;1.61;1.61
Chile, Fresh groundwater withdrawal;Chile;152;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;2.78;2.78;2.78;2.78;2.78;2.78
China, Fresh groundwater withdrawal;China;156;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;106.9;;101.67;97.64;93.42;89.25
China, Fresh groundwater withdrawal;China;156;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;109.11;;;;
Colombia, Fresh groundwater withdrawal;Colombia;170;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;;;;1.11;1.15;1.16
Colombia, Fresh groundwater withdrawal;Colombia;170;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;2.37;2.55;1.83;;;
Congo, Fresh groundwater withdrawal;Congo;178;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.02;0.02;0.02;0.02;0.02;0.02
Costa Rica, Fresh groundwater withdrawal;Costa Rica;188;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.41;0.36;0.18;0.36;0.4;0.41
Croatia, Fresh groundwater withdrawal;Croatia;191;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;;;;0.42;0.43;0.42
Croatia, Fresh groundwater withdrawal;Croatia;191;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;X;External value (reported by FAOSTAT or another international agency);10^9 m3/year;X;0.43;0.43;0.42;;;
Cuba, Fresh groundwater withdrawal;Cuba;192;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;2.64;2.64;2.64;2.64;2.64;2.64
Cyprus, Fresh groundwater withdrawal;Cyprus;196;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.15;0.16;0.16;0.16;0.14;
Cyprus, Fresh groundwater withdrawal;Cyprus;196;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;;0.16
Czechia, Fresh groundwater withdrawal;Czechia;203;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.37;0.36;0.37;0.37;0.36;0.36
Denmark, Fresh groundwater withdrawal;Denmark;208;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.64;0.68;0.67;0.87;0.72;0.76
Djibouti, Fresh groundwater withdrawal;Djibouti;262;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.02;0.02;0.02;0.02;0.02;0.02
Dominica, Fresh groundwater withdrawal;Dominica;212;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0;0;0;0;0;0
Dominican Republic, Fresh groundwater withdrawal;Dominican Republic;214;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.39;0.39;0.39;0.39;0.39;0.39
Egypt, Fresh groundwater withdrawal;Egypt;818;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;6.9;6.9;6.5;;;
Egypt, Fresh groundwater withdrawal;Egypt;818;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;6.5;6.5;6.5
El Salvador, Fresh groundwater withdrawal;El Salvador;222;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.11;0.11;0.12;0.12;0.12;0.12
Estonia, Fresh groundwater withdrawal;Estonia;233;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.2;0.22;0.25;0.21;0.23;0.22
Finland, Fresh groundwater withdrawal;Finland;246;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;;;;;0.2;
Finland, Fresh groundwater withdrawal;Finland;246;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.11;0.09;0.09;0.11;;0.2
France, Fresh groundwater withdrawal;France;250;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;5.76;5.51;5.68;5.77;5.73;
France, Fresh groundwater withdrawal;France;250;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;;5.73
Georgia, Fresh groundwater withdrawal;Georgia;268;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;;0.48;0.49;0.49;0.49;0.51
Georgia, Fresh groundwater withdrawal;Georgia;268;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.5;;;;;
Germany, Fresh groundwater withdrawal;Germany;276;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;5.95;;5.96;5.96;5.96;5.96
Germany, Fresh groundwater withdrawal;Germany;276;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;X;External value (reported by FAOSTAT or another international agency);10^9 m3/year;X;;5.96;;;;
Greece, Fresh groundwater withdrawal;Greece;300;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;;6.23;6.23;6.23;6.23;6.22
Greece, Fresh groundwater withdrawal;Greece;300;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;X;External value (reported by FAOSTAT or another international agency);10^9 m3/year;X;5.61;;;;;
Grenada, Fresh groundwater withdrawal;Grenada;308;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0;0;0;0;0;0
Guinea, Fresh groundwater withdrawal;Guinea;324;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;;;;0.09;;0.09
Guinea, Fresh groundwater withdrawal;Guinea;324;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.08;0.08;0.09;;0.09;
Guinea-Bissau, Fresh groundwater withdrawal;Guinea-Bissau;624;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.03;0.03;0.03;0.03;0.03;0.03
Honduras, Fresh groundwater withdrawal;Honduras;340;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.16;0.16;0.16;0.16;0.16;0.16
Hungary, Fresh groundwater withdrawal;Hungary;348;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;;;0.58;0.51;0.61;0.82
Hungary, Fresh groundwater withdrawal;Hungary;348;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;X;External value (reported by FAOSTAT or another international agency);10^9 m3/year;X;0.49;0.49;;;;
Iceland, Fresh groundwater withdrawal;Iceland;352;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.26;0.22;0.25;;;
Iceland, Fresh groundwater withdrawal;Iceland;352;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;0.25;0.25;0.25
India, Fresh groundwater withdrawal;India;356;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;251;251;251;251;251;251
Indonesia, Fresh groundwater withdrawal;Indonesia;360;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;33.55;34.61;34.61;34.61;34.61;34.61
Iran (Islamic Republic of), Fresh groundwater withdrawal;Iran (Islamic Republic of);364;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;53.1;53.1;53.1;53.1;53.1;53.1
Ireland, Fresh groundwater withdrawal;Ireland;372;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;;;;0.32;;
Ireland, Fresh groundwater withdrawal;Ireland;372;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.28;0.29;0.31;;0.34;0.35
Israel, Fresh groundwater withdrawal;Israel;376;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.76;0.87;0.86;0.77;0.78;0.71
Jamaica, Fresh groundwater withdrawal;Jamaica;388;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.21;0.14;;;;
Jamaica, Fresh groundwater withdrawal;Jamaica;388;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;0.14;0.14;0.14;0.14
Japan, Fresh groundwater withdrawal;Japan;392;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;;8.9;8.8;8.8;8.6;
Japan, Fresh groundwater withdrawal;Japan;392;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;8.97;;;;;8.6
Jordan, Fresh groundwater withdrawal;Jordan;400;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.59;0.61;0.62;0.62;0.6;
Jordan, Fresh groundwater withdrawal;Jordan;400;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;;0.6
Kazakhstan, Fresh groundwater withdrawal;Kazakhstan;398;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;1.06;1.05;1.03;1.02;1.06;1
Kenya, Fresh groundwater withdrawal;Kenya;404;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;;0.53;;;;
Kenya, Fresh groundwater withdrawal;Kenya;404;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;0.53;0.53;0.53;0.53
Kuwait, Fresh groundwater withdrawal;Kuwait;414;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.68;0.72;0.77;;;
Kuwait, Fresh groundwater withdrawal;Kuwait;414;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;0.77;0.77;0.77
Kyrgyzstan, Fresh groundwater withdrawal;Kyrgyzstan;417;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.31;0.31;0.31;0.31;0.31;0.31
Latvia, Fresh groundwater withdrawal;Latvia;428;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.08;0.08;0.08;0.09;0.08;0.08
Lebanon, Fresh groundwater withdrawal;Lebanon;422;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;1.16;1.16;1.16;1.16;1.16;1.16
Libya, Fresh groundwater withdrawal;Libya;434;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;5.55;5.55;5.55;5.55;5.55;5.55
Lithuania, Fresh groundwater withdrawal;Lithuania;440;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.14;0.14;0.14;0.15;;
Lithuania, Fresh groundwater withdrawal;Lithuania;440;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;;0.15;0.15
Luxembourg, Fresh groundwater withdrawal;Luxembourg;442;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.03;0.02;0.02;0.03;0.02;0.02
Madagascar, Fresh groundwater withdrawal;Madagascar;450;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.02;0.02;0.02;0.02;0.02;0.02
Malaysia, Fresh groundwater withdrawal;Malaysia;458;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.09;0.09;0.09;;;
Malaysia, Fresh groundwater withdrawal;Malaysia;458;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;;;;0.09;0.09;0.09
Mali, Fresh groundwater withdrawal;Mali;466;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.06;0.06;0.06;0.06;0.06;0.06
Malta, Fresh groundwater withdrawal;Malta;470;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.04;0.04;0.04;0.04;0.04;0.04
Mauritius, Fresh groundwater withdrawal;Mauritius;480;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.15;0.15;0.14;0.15;0.15;0.15
Mexico, Fresh groundwater withdrawal;Mexico;484;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;33.31;33.82;34.39;34.84;35.1;35.32
Mongolia, Fresh groundwater withdrawal;Mongolia;496;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.35;0.38;0.38;0.38;0.38;0.38
Morocco, Fresh groundwater withdrawal;Morocco;504;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;2.32;2.32;2.32;2.32;2.32;2.32
Myanmar, Fresh groundwater withdrawal;Myanmar;104;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;2.99;2.99;2.99;2.99;2.99;2.99
Namibia, Fresh groundwater withdrawal;Namibia;516;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;I;Imputed (carry forward, vertical imputation, linear interpolation);10^9 m3/year;I;0.13;0.13;0.13;0.13;0.13;0.13
Netherlands (Kingdom of the), Fresh groundwater withdrawal;Netherlands (Kingdom of the);528;Fresh groundwater withdrawal;Fresh groundwater withdrawal (10^9 m3/year);10^9 m3/year;;Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.);10^9 m3/year;;0.99;0.98;1.01;1.19;1.14;1.17
